01/12/2020;0;Airbus Industrie;Virgin Atlantic Airways; A350-1041;1
01/12/2020;0;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;0;Boeing;Cygnus Air;757-223PCF;1
01/12/2020;0;Boeing;False;737 33VQC;1
01/12/2020;0;Boeing;False;747 467F;1
01/12/2020;0;Boeing;False;Boeing 737 408SF;1
01/12/2020;0;Boeing;False;Boeing 737 4S3SF;1
01/12/2020;0;Boeing;Swiftair;737 4Y0SF;1928
01/12/2020;0;Boeing;Swiftair;Boeing 737 4Q8SF;1
01/12/2020;0;Boeing;Titan Airways;737-436(SF);1
01/12/2020;0;Boeing Commercial Airplane Group;False;737-400;43
01/12/2020;0;Boeing Company;Dhl Air;BOEING 757-236;2
01/12/2020;0;False;Ace Belgium Freighters;Boeing 747-412(BCF);1
01/12/2020;0;False;False;False;78288
01/12/2020;0;Saab-scania Ab;False;SAAB-SCANIA SF340B;1
01/12/2020;1;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;1;Boeing;Cygnus Air;757-223PCF;1
01/12/2020;1;Boeing;False;737 33VQC;1
01/12/2020;1;Boeing;False;Boeing 737 4S3SF;1
01/12/2020;1;Boeing;Swiftair;737 476SF;1
01/12/2020;1;Boeing;Swiftair;737 4Y0SF;3117
01/12/2020;1;Boeing;Titan Airways;737-436(SF);1
01/12/2020;1;Boeing Commercial Airplane Group;False;737-400;1
01/12/2020;1;Boeing Company;Dhl Air;BOEING 757-236;1
01/12/2020;1;Boeing Company;European Air Transport Leipzig Gmbh - Germany;Boeing 757-223;1
01/12/2020;1;Bombardier Inc;False;BD-700-1A10 Global Express;1
01/12/2020;1;False;False;False;78675
01/12/2020;1;Swearingen;False;Metro III;1
01/12/2020;10;Aerospatiale;False;Squirrel AS.350 B;1
01/12/2020;10;Agusta-bell;False;AB.206B Jet Ranger II;1
01/12/2020;10;Airbus;Easyjet;Airbus A320-214;1
01/12/2020;10;Airbus;False;A320 214;1
01/12/2020;10;Airbus;False;A320 232SL;216
01/12/2020;10;Airbus;False;A330 243;1
01/12/2020;10;Airbus;False;A330 343E;1
01/12/2020;10;Airbus;False;A380 842;1
01/12/2020;10;Airbus;False;ACJ319 133X;1
01/12/2020;10;Airbus Industries;Air Belgium;A340-313;1
01/12/2020;10;Aquila;False;AT-01 A-210;1
01/12/2020;10;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;10;Boeing;Emirates Airlines;Boeing 777-36N(ER);1
01/12/2020;10;Boeing;Etihad Airways;Boeing 777 FFX;1
01/12/2020;10;Boeing;False;737NG 7K2/W;1
01/12/2020;10;Boeing;False;737NG 8K2/W;201
01/12/2020;10;Boeing;False;737NG 958ER/W;1
01/12/2020;10;Boeing;False;777 206ER;8
01/12/2020;10;Boeing;False;777 306ER;1
01/12/2020;10;Boeing;False;777 F1H;1
01/12/2020;10;Boeing;False;Boeing 777 300ER;1370
01/12/2020;10;Boeing;False;Boeing 787-9;1
01/12/2020;10;Boeing;Royal Air Maroc;737NG 7B6/W;1
01/12/2020;10;Boeing;Titan Airways;737-436(SF);1
01/12/2020;10;Boeing Company;British Airways;BOEING 777-36NER;1
01/12/2020;10;Boeing Company;British Airways;Boeing 787-10;1
01/12/2020;10;Boeing Company;False;BOEING 777-236;1
01/12/2020;10;Boeing Company;False;BOEING 787-9 Dreamliner;1
01/12/2020;10;Bombardier;False;Bombardier Learjet 31 A;1
01/12/2020;10;Cessna;False;182T Skylane;1
01/12/2020;10;Cessna;False;Cessna Citation CJ2+;1
01/12/2020;10;Cessna Aircraft Company;False;510;5608
01/12/2020;10;Cessna Aircraft Company;False;525A;1
01/12/2020;10;Cessna Aircraft Company;Globeair;510;1
01/12/2020;10;Dassault;False;Dassault Falcon 2000;1
01/12/2020;10;Dassault;False;Falcon 20 C;1
01/12/2020;10;Dassault;False;Falcon 2000EX EASy;1
01/12/2020;10;Dassault;False;Falcon 900 B;1
01/12/2020;10;Diamond Aircraft;False;Diamond Star DA40D;2399
01/12/2020;10;Diamond Aircraft;False;Twin Star DA42;1
01/12/2020;10;Dornier;False;Do 228 212;1
01/12/2020;10;Embraer;False;EMB-190 STD;1
01/12/2020;10;Embraer;False;Embraer Phenom 300;1
01/12/2020;10;Embraer;False;Phenom 300;2
01/12/2020;10;Embraer;Klm Cityhopper;EMB-190 STD;1
01/12/2020;10;Embraer;Klm Cityhopper;ERJ-175STD;535
01/12/2020;10;Embraer;Klm Cityhopper;Embraer ERJ-175;1
01/12/2020;10;Embraer;Ukraine International Airlines;Embraer 195LR;1
01/12/2020;10;Empresa Brasileira De Aeronautica Sa;False;EMB-145MP;1
01/12/2020;10;Eurocopter;False;EC120B Colibri;2107
01/12/2020;10;Eurocopter;False;Squirrel AS.350 B3;1
01/12/2020;10;False;False;False;751347
01/12/2020;10;False;Klm;Boeing 787-9 Dreamliner;1
01/12/2020;10;Flight Design;False;Flight Design CT 2K;1
01/12/2020;10;Mooney;False;M.20M TLS;1
01/12/2020;10;Piper;False;PA-28 140 Cherokee F;1
01/12/2020;10;Piper;False;PA-28 161 Warrior III;1
01/12/2020;10;Piper;False;PA-28 181 Archer II;1
01/12/2020;10;Piper;False;PA-28R T-201 Arrow IV;1
01/12/2020;10;Reims/cessna;False;F152;1
01/12/2020;10;Reims/cessna;False;F172;1
01/12/2020;10;Reims/cessna;False;F172M;947
01/12/2020;10;Reims/cessna;False;F172P;1
01/12/2020;10;Robin;False;DR.400 120 Petit Prince;1180
01/12/2020;10;Robin;False;DR.400 120A Petit Prince;1
01/12/2020;10;Robin;False;DR.400 180 Regent;1
01/12/2020;10;Robinson;False;R22 Mariner II;1
01/12/2020;10;Slingsby Aviation Ltd;False;SLINGSBY T67M MKII Firefly;1
01/12/2020;10;Socata;False;TB10 Tobago;546
01/12/2020;10;Socata;False;TB20 Trinidad;2813
01/12/2020;11;Aerospatiale;False;Squirrel AS.350 B;1
01/12/2020;11;Aerospatiale;False;Squirrel AS.350 B2;1
01/12/2020;11;Airbus;Easyjet;Airbus A320-214;1
01/12/2020;11;Airbus;False;A320 214;353
01/12/2020;11;Airbus;False;A320 232SL;347
01/12/2020;11;Airbus;False;A330 203;1
01/12/2020;11;Airbus;False;A330 243;1
01/12/2020;11;Airbus;False;A330 302;1
01/12/2020;11;Airbus;False;ACJ319 133X;1
01/12/2020;11;Airbus Industrie;False;AIRBUS A319-131;1
01/12/2020;11;Airbus Sas;Easyjet Airline Company Limited - United Kingdom;320-251N;1
01/12/2020;11;Aquila;False;AT-01 A-210;1
01/12/2020;11;Beech;False;Baron 58;457
01/12/2020;11;Beech Aircraft Corporation;False;BEECH 200 Super Kingair;1
01/12/2020;11;Bell Helicopter Textron Canada Ltd;False;BELL 407;1
01/12/2020;11;Boeing;Ace Belgium Freighters;Boeing 747-4EVERF;1
01/12/2020;11;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
